,covid-555-1_NonVent,covid-555-2_Vent,covid-556_NonVent,covid-557_Vent,covid-558_Vent,covid-559_NonVent,covid-560_Vent,covid-561_NonVent
OR1D5,3,0,0,0,0,0,1,0
OR1E1,1,1,0,2,1,1,1,1
OR1E2,0,1,1,0,3,1,0,0
OR1G1,0,1,0,2,2,2,0,2
OR1I1,2,0,1,0,0,2,0,4
OR1J1,0,4,0,0,0,0,1,1
OR1J2,2,0,0,0,1,2,1,2
OR1L3,1,1,1,3,0,1,0,2
OR1N2,4,2,0,3,0,2,2,2
OR2A1,2,1,1,3,1,0,0,3
OR2A1-AS1,29,75,28,82,41,19,23,10
OR2A2,2,2,0,1,1,0,0,1
OR2A25,1,2,1,0,1,1,0,0
OR2A4,5,3,3,3,3,0,7,10
OR2A42,4,14,6,8,6,8,3,2
OR2A7,3,2,5,4,4,2,3,5
OR2AE1,3,1,0,0,1,0,0,2
OR2AT4,3,2,0,1,1,1,1,3
OR2B11,7,7,1,3,6,4,0,12
OR2B3,1,2,0,2,1,1,0,1
OR2B6,3,4,3,14,8,5,0,0
OR2C1,0,2,1,0,1,0,1,1
OR2C3,1,0,2,5,0,0,4,4
OR2D3,0,2,0,3,1,2,0,1
OR2H1,0,3,1,3,2,0,2,2
OR2J1,0,0,1,3,0,0,1,1
OR2J3,0,2,2,7,2,0,2,8
OR2K2,1,0,0,2,1,0,0,0
OR2L13,1,1,0,5,1,1,1,1
OR2T3,0,1,0,1,1,0,0,3
OR2T33,1,0,1,0,1,1,0,2
OR2T34,1,0,0,4,1,0,4,2
OR2T5,0,1,0,3,1,1,1,0
OR2V1,2,1,2,3,1,0,0,1
OR2W3,1,3,2,10,3,3,174,11
OR2Y1,1,3,1,4,1,0,0,0
OR3A3,0,0,1,0,2,1,1,0
OR4B1,0,1,0,0,1,1,0,2
OR4C12,0,0,2,1,3,1,0,0
OR4C15,2,1,0,1,1,0,0,3
OR4C16,1,1,0,3,0,0,0,2
OR4C5,2,0,0,2,0,1,2,0
