,covid-555-1_NonVent,covid-555-2_Vent,covid-556_NonVent,covid-557_Vent,covid-558_Vent,covid-559_NonVent,covid-560_Vent,covid-561_NonVent
5S-rRNA,3,1,0,7,1,0,0,1
7SK,119,157,85,154,76,49,37,98
A1BG,7,13,4,8,4,8,2,9
A1BG-AS1,3,2,0,4,1,1,0,3
A1CF,4,10,6,9,2,2,5,4
A2M,132,97,23,61,21,59,14,21
A2M-AS1,26,17,4,17,4,12,4,4
A2ML1,5,8,2,12,7,5,7,17
A4GALT,2,0,2,3,2,0,4,3
A4GNT,1,0,2,1,3,0,1,2
AAAS,45,179,39,266,141,74,34,66
AACS,75,146,36,133,124,96,57,98
AADAC,2,1,1,4,0,1,0,2
AADACL2,1,3,0,3,0,0,1,2
AADACL3,5,1,0,4,2,2,0,3
AADACL4,1,0,1,1,2,1,0,0
AADAT,0,1,1,3,3,0,0,2
AAED1,218,307,72,295,117,111,79,223
AAGAB,210,433,95,496,272,222,136,183
AAK1,313,417,202,748,214,290,181,227
AAMDC,28,55,12,53,23,35,24,39
AAMP,275,570,115,672,337,218,157,372
AANAT,4,3,2,6,5,0,2,3
AAR2,206,285,85,361,215,165,109,170
AARD,2,6,1,7,2,2,0,8
AARS,286,1006,204,1330,1196,536,174,174
AARS2,100,189,68,292,203,101,74,59
AARSD1,14,30,11,44,16,19,12,8
AASDH,81,233,58,384,128,111,75,67
AASDHPPT,179,500,74,537,300,198,121,118
AASS,16,17,26,67,14,20,6,20
AATF,739,1179,366,1674,834,600,436,592
AATK,16,38,4,18,6,5,11,16
ABAT,110,285,32,188,82,79,80,132
ABCA1,154,348,111,220,226,57,154,87
ABCA10,16,12,4,29,8,21,9,3
ABCA12,7,9,1,10,3,1,8,10
ABCA13,13,126,5,43,42,9,106,26
ABCA2,141,189,91,184,78,100,35,55
ABCA3,40,61,24,83,34,30,18,20
ABCA4,4,4,1,4,5,6,2,10
ABCA5,121,166,104,262,80,190,68,57
ABCA6,16,12,9,34,6,10,8,24
ABCA7,324,726,167,723,320,227,168,289
ABCA8,17,14,4,41,10,11,12,17
ABCA9,3,10,2,14,10,1,2,6
ABCB1,126,192,79,356,74,92,34,58
ABCB10,144,291,71,360,189,145,139,147
ABCB11,3,0,0,6,0,3,0,5
ABCB4,10,42,27,48,6,7,8,22
ABCB5,8,9,5,12,0,5,6,17
ABCB6,3,3,1,8,13,8,2,4
ABCB7,157,339,92,405,226,142,108,183
ABCB8,51,108,56,170,119,69,38,57
ABCB9,33,105,24,61,98,19,10,19
ABCC1,228,412,109,516,347,209,150,238
ABCC10,145,188,73,279,164,101,69,96
ABCC11,5,2,2,3,4,3,4,5
ABCC12,2,1,1,3,7,2,2,3
ABCC2,16,48,17,60,22,17,16,16
ABCC3,61,105,13,83,68,43,5,109
ABCC4,82,188,54,264,140,80,82,85
ABCC5,159,351,120,491,218,166,92,162
ABCC6,21,57,10,32,14,10,6,30
ABCC8,3,3,3,2,5,2,2,4
ABCC9,9,7,0,6,1,7,5,15
ABCD1,77,117,16,79,48,33,40,85
ABCD2,68,218,81,500,134,68,66,36
ABCD3,140,322,113,484,262,191,121,157
ABCD4,183,316,107,436,191,164,87,150
ABCE1,266,741,214,1158,700,420,236,242
ABCF1,875,1637,480,2901,1307,822,502,659
ABCF2,316,780,181,955,562,438,244,326
ABCF3,138,261,65,259,189,118,75,107
ABCG1,26,89,34,128,27,48,37,33
ABCG2,4,5,3,43,20,3,27,6
ABCG4,2,1,1,7,6,4,3,6
ABCG5,6,3,4,9,2,1,7,16
ABCG8,1,1,1,0,2,0,0,1
ABHD1,1,6,5,9,6,2,2,7
ABHD10,110,270,63,320,216,102,81,90
ABHD11,74,107,33,103,62,38,27,88
ABHD12,121,267,53,290,199,97,71,143
ABHD12B,6,5,1,5,2,6,6,7
ABHD13,322,589,124,655,285,214,184,322
ABHD14A,73,137,60,241,117,73,43,33
ABHD14B,180,354,102,646,205,196,105,205
ABHD15,126,241,45,283,109,101,39,93
ABHD16A,13,28,6,20,15,15,8,10
ABHD16B,9,22,1,20,2,13,6,12
ABHD17A,124,164,54,278,83,102,45,89
ABHD17B,84,220,42,249,111,114,49,58
ABHD17C,16,51,13,67,27,13,7,13
ABHD2,932,2041,565,2141,1006,895,761,1813
ABHD3,222,468,82,630,284,177,91,143
ABHD4,48,91,20,130,60,59,13,43
ABHD5,117,267,36,201,111,62,104,94
ABHD6,45,121,28,94,64,33,35,50
ABHD8,21,41,9,38,30,16,16,33
ABI1,766,1538,407,1991,824,698,436,726
ABI2,194,349,148,745,192,345,86,144
ABI3,350,550,88,620,257,453,145,300
ABI3BP,13,9,9,28,4,3,3,7
ABL1,261,434,134,424,316,261,135,263
ABL2,313,397,176,708,225,302,146,252
ABLIM1,386,979,886,4605,672,1097,573,322
ABLIM2,10,14,7,13,10,7,2,3
ABLIM3,25,22,4,50,44,47,1,37
ABR,627,1027,180,815,493,439,334,659
ABRA,2,7,2,5,5,1,2,1
ABRACL,394,1076,186,1099,535,496,306,479
ABT1,234,439,91,454,268,146,107,174
ABTB1,218,505,101,417,120,108,174,319
ABTB2,64,40,8,22,41,29,18,12
AC000003.2,6,4,0,2,2,1,0,5
AC000036.4,4,1,3,1,3,1,1,3
AC000068.5,10,6,4,24,9,5,2,7
AC000099.1,0,2,1,2,0,0,0,1
AC000120.7,3,7,1,8,5,2,5,4
AC000123.4,2,6,4,7,3,4,1,3
AC002044.4,121,202,58,212,62,82,58,122
AC002059.10,0,3,1,9,1,1,1,0
AC002076.10,0,3,1,3,3,0,3,2
AC002115.9,2,0,2,2,0,2,2,0
AC002116.7,0,4,1,9,2,2,0,0
AC002117.1,2,0,1,2,0,2,0,1
AC002128.5,2,0,2,4,3,0,0,1
AC002306.1,2,7,0,6,3,0,0,4
AC002310.12,46,110,29,138,39,51,23,42
AC002310.7,7,10,3,8,4,1,1,7
AC002398.11,7,15,7,25,12,6,4,15
AC002429.5,3,5,0,4,3,1,2,7
AC002451.1,2,3,1,1,4,0,1,3
AC002451.3,9,12,2,4,9,0,1,5
AC002454.1,0,1,0,4,5,0,0,0
AC002456.2,4,3,2,2,1,1,0,0
AC002467.7,9,24,1,37,11,8,4,13
AC002472.11,1,0,1,2,1,0,0,0
AC002472.13,11,19,2,19,9,5,7,7
AC002480.2,2,5,2,5,3,0,1,2
AC002480.3,0,0,0,1,4,2,0,1
AC002480.4,2,2,0,1,1,1,2,3
AC002511.1,11,6,5,8,8,3,6,13
AC002511.2,1,1,1,1,1,2,0,3
AC002511.3,0,0,0,3,3,0,1,6
AC002519.8,7,4,5,7,4,1,1,6
AC002550.5,0,2,2,2,2,1,1,4
AC002551.1,4,2,1,5,3,1,0,5
AC003003.5,6,2,1,4,1,2,6,9
AC003051.1,5,1,1,12,0,5,8,11
AC003075.4,2,4,1,8,2,6,5,2
AC003090.1,1,7,0,1,0,2,1,5
AC003092.1,0,1,0,4,0,0,0,8
AC003102.3,10,13,2,13,10,4,4,22
AC003104.1,5,9,3,22,2,4,4,4
AC003665.1,18,15,7,30,11,10,3,13
AC003958.2,1,4,3,3,0,3,0,1
AC003973.4,1,4,0,2,1,1,0,1
AC003984.1,2,2,1,0,1,0,0,0
AC003986.5,1,0,0,1,1,2,1,2
AC003986.6,0,0,1,2,0,2,1,1
AC003986.7,0,3,0,1,1,1,1,4
AC003991.3,4,6,0,6,2,3,2,1
AC004012.1,1,0,0,2,1,2,0,1
AC004017.1,1,1,0,2,0,0,2,0
AC004019.13,5,6,2,3,1,1,2,4
AC004041.2,3,4,0,4,1,0,0,1
AC004051.2,1,0,0,3,1,1,1,2
AC004053.1,2,3,1,4,1,0,2,7
AC004067.5,3,8,3,22,5,3,2,5
AC004069.2,8,19,6,10,6,4,3,9
AC004112.4,3,2,1,0,0,0,0,1
AC004125.3,4,3,0,2,2,0,0,1
AC004156.3,5,6,1,7,4,2,2,6
AC004158.2,2,5,1,4,4,0,1,2
AC004158.3,1,2,0,1,2,0,2,1
AC004221.2,2,1,1,0,0,1,0,1
AC004231.2,0,1,0,4,0,0,0,1
AC004237.1,1,2,1,6,0,0,0,1
AC004257.1,0,2,0,2,2,0,1,0
AC004257.3,14,40,4,52,11,8,7,18
AC004381.6,16,35,9,37,43,17,21,18
AC004410.3,2,0,1,5,0,0,0,1
AC004447.2,39,31,19,98,20,25,26,22
AC004448.2,0,3,0,1,0,0,1,1
AC004448.5,1,6,2,9,2,1,3,5
AC004463.6,3,3,3,7,3,6,2,0
AC004466.1,1,2,0,1,0,0,0,2
AC004471.10,3,2,0,4,0,3,2,1
AC004471.9,2,4,3,11,2,2,2,4
AC004490.1,0,1,0,2,3,2,1,2
AC004528.4,1,2,1,4,0,1,0,3
AC004538.3,4,3,1,3,1,0,2,1
AC004540.4,1,1,0,0,1,1,2,0
AC004540.5,5,8,1,12,5,2,3,9
AC004593.3,1,3,3,1,1,0,4,3
AC004603.4,0,0,0,5,5,0,0,6
AC004691.5,2,2,0,2,2,1,0,0
AC004692.4,0,1,1,0,1,0,1,0
AC004791.2,0,9,0,7,2,0,1,0
AC004837.5,0,6,0,3,3,5,2,1
AC004840.9,24,35,16,35,26,40,6,7
AC004854.4,3,2,1,4,0,2,0,2
AC004862.6,0,2,0,0,0,1,1,2
AC004878.2,4,5,2,1,2,1,2,5
AC004878.8,0,2,2,1,0,0,1,1
AC004893.11,70,117,36,174,43,51,28,64
AC004895.4,2,0,1,1,1,1,0,0
AC004899.1,1,5,1,5,0,7,1,1
AC004906.3,3,2,1,3,1,2,1,1
AC004941.3,3,8,0,6,5,0,0,4
AC004951.6,5,12,10,19,8,6,6,4
AC004988.1,4,2,0,5,3,1,1,4
AC005003.1,7,19,13,24,10,9,5,14
AC005009.2,1,1,1,5,0,0,2,2
AC005022.1,0,4,1,2,0,2,0,4
AC005029.1,3,2,1,1,2,0,2,2
AC005042.4,5,8,1,6,2,5,0,2
AC005062.2,4,9,1,11,6,1,2,5
AC005076.5,1,15,6,11,4,8,2,17
AC005082.12,4,14,7,28,2,11,12,27
AC005104.3,1,1,1,6,0,3,0,1
AC005152.3,2,1,0,0,0,1,0,5
AC005154.6,240,394,140,370,121,127,116,224
AC005162.5,1,0,0,2,0,0,0,2
AC005197.2,0,1,0,1,0,0,1,1
AC005220.3,0,2,2,2,1,0,1,3
AC005224.2,3,10,1,11,8,3,1,2
AC005229.1,5,4,0,1,0,4,2,12
AC005235.1,2,6,0,3,0,6,1,8
AC005253.2,7,19,4,24,13,10,4,6
AC005264.2,5,8,2,10,7,5,6,6
AC005304.1,0,1,1,1,0,2,1,0
AC005306.3,14,30,17,35,11,12,8,6
AC005307.1,2,1,0,3,3,5,0,2
AC005307.3,3,1,1,9,4,3,0,3
AC005324.6,0,2,0,0,1,0,3,4
AC005330.2,4,3,0,2,2,0,3,5
AC005355.2,1,3,0,1,1,2,3,2
AC005477.1,0,5,1,2,0,0,0,4
AC005481.5,8,4,2,10,2,2,2,2
AC005498.3,1,0,0,3,0,0,0,2
AC005518.2,1,1,1,0,0,2,0,3
AC005519.4,2,12,1,4,2,1,2,1
AC005522.7,2,3,1,1,0,2,1,2
AC005532.5,7,10,6,11,5,12,3,7
AC005534.8,5,5,2,10,0,1,2,4
AC005537.2,1,3,2,2,1,1,1,2
AC005540.3,4,0,1,5,2,2,0,2
AC005546.2,1,0,1,2,2,0,1,1
AC005550.3,4,4,0,5,2,3,8,2
AC005562.1,64,137,41,192,44,52,40,72
AC005592.1,4,1,1,2,1,2,0,2
AC005592.2,4,3,0,3,1,1,4,2
AC005594.3,4,4,4,5,0,3,2,1
AC005609.1,4,1,2,2,4,0,2,3
AC005614.3,2,7,0,2,1,1,0,1
AC005616.1,3,2,0,4,2,1,6,5
AC005616.2,2,1,0,1,0,1,0,0
AC005618.6,3,4,3,7,7,1,4,3
AC005624.2,0,2,0,3,2,1,1,1
AC005682.5,20,27,18,42,32,14,8,11
AC005682.8,2,2,1,3,1,0,1,1
AC005702.1,0,3,0,6,0,0,2,1
AC005740.6,2,4,4,8,2,1,2,4
AC005754.8,1,5,0,1,2,0,2,2
AC005757.6,3,0,0,2,1,0,0,1
AC005775.2,1,6,2,1,0,3,3,0
AC005780.1,1,1,0,0,1,1,0,1
AC005789.11,5,3,1,10,4,3,0,8
AC005841.1,1,0,1,3,0,0,2,0
AC005863.1,3,3,1,3,3,1,2,4
AC005932.1,1,5,1,2,0,1,2,4
AC005943.4,7,9,4,14,2,2,5,6
AC005943.5,5,9,1,14,0,5,4,5
AC006004.1,0,4,1,4,2,1,4,7
AC006019.4,4,1,0,4,6,0,0,2
AC006042.7,0,0,0,2,2,0,1,3
AC006050.2,1,2,0,0,1,0,1,1
AC006115.3,5,3,1,2,2,4,1,7
AC006116.12,0,2,0,0,0,0,2,1
AC006116.15,2,3,0,0,1,1,1,3
AC006116.17,2,2,2,2,0,1,1,5
AC006116.19,1,1,0,2,1,2,0,2
AC006116.20,16,15,5,22,7,19,4,11
AC006116.21,0,0,0,1,1,1,1,1
AC006116.24,5,18,8,18,9,10,2,6
AC006129.1,9,19,4,15,18,15,7,32
AC006129.2,81,264,144,579,143,138,75,55
AC006129.4,28,97,19,79,63,23,8,10
AC006160.5,2,5,2,5,4,2,0,7
AC006196.1,1,3,0,0,0,0,1,1
AC006262.5,1,1,0,2,1,3,2,0
AC006262.6,5,3,3,5,6,1,0,4
AC006273.4,1,0,2,4,1,1,1,2
AC006273.5,1,2,0,4,1,0,5,2
AC006273.7,1,0,0,1,1,0,0,0
AC006296.2,0,2,1,3,1,1,0,1
AC006369.2,8,19,2,12,3,5,2,3
AC006372.1,3,0,0,3,3,0,3,4
AC006372.4,4,0,0,1,4,0,1,3
AC006372.5,0,0,3,1,2,0,0,2
AC006378.2,1,5,2,5,1,1,1,0
AC006455.1,5,13,0,12,6,5,7,10
AC006460.2,0,2,1,4,0,2,1,1
AC006486.1,5,13,6,20,9,7,6,4
AC006538.1,8,10,0,13,10,4,1,3
AC006547.13,14,24,2,35,6,5,9,12
AC006552.1,4,1,1,0,0,3,0,1
AC006942.4,0,1,0,3,2,2,0,5
AC006946.15,7,7,1,7,4,3,5,3
AC006946.16,3,5,3,13,2,4,2,4
AC006946.17,0,2,1,5,2,2,2,2
AC006960.7,4,1,2,2,0,1,1,3
AC006967.1,8,7,1,10,4,3,6,6
AC006994.2,4,5,1,7,3,3,4,7
AC007036.4,5,1,4,5,1,1,2,6
AC007036.6,1,0,0,1,1,0,0,4
AC007038.7,11,26,6,36,4,10,15,10
AC007040.11,10,9,1,9,6,3,4,7
AC007040.6,3,0,1,1,0,0,1,1
AC007050.17,0,1,1,1,3,1,0,1
AC007078.4,3,4,0,5,1,1,0,8
AC007126.1,5,2,3,6,2,2,4,7
AC007131.1,1,3,1,2,1,0,4,11
AC007131.2,1,0,2,2,2,0,0,0
AC007161.5,3,7,1,6,2,5,1,0
AC007163.3,4,9,2,5,3,2,2,4
AC007182.6,3,2,2,4,0,3,0,2
AC007228.11,3,3,3,5,4,1,2,2
AC007228.5,2,0,2,1,1,2,0,0
AC007228.9,8,29,4,42,11,13,8,10
AC007246.3,15,30,12,38,32,20,7,22
AC007249.3,0,2,1,4,2,0,1,1
AC007250.4,0,0,1,2,1,0,1,2
AC007255.8,0,1,0,2,0,0,1,1
AC007277.3,12,6,1,1,2,2,7,8
AC007278.2,6,11,9,10,1,6,4,10
AC007278.3,13,12,2,8,2,7,9,6
AC007285.6,3,6,1,5,3,1,1,3
AC007292.3,3,14,0,11,2,2,13,3
AC007292.4,1,1,0,5,3,0,0,2
AC007292.6,2,5,2,4,3,2,1,2
AC007308.6,13,12,5,6,5,1,2,7
AC007319.1,2,0,1,3,0,1,0,1
AC007349.5,3,0,0,2,1,2,1,2
AC007349.7,0,0,0,4,1,1,0,1
AC007359.6,2,2,1,2,2,1,2,3
AC007364.1,6,3,2,3,1,3,3,9
AC007365.3,7,11,4,17,5,3,1,6
AC007381.2,1,4,0,2,4,0,1,1
AC007381.3,6,5,3,3,3,0,0,4
AC007382.1,4,10,6,14,6,6,4,6
AC007383.3,4,7,3,13,6,6,6,4
AC007386.2,4,17,4,14,11,5,7,14
AC007386.4,2,14,3,10,16,1,0,0
AC007389.3,3,3,0,6,3,0,3,9
AC007392.3,0,3,0,2,1,0,0,1
AC007401.2,1,2,5,0,1,0,1,3
AC007405.4,2,6,1,6,2,3,5,8
AC007405.6,0,2,0,2,0,1,0,2
AC007461.2,0,0,0,4,1,2,1,3
AC007551.3,22,29,12,25,9,13,7,14
AC007563.1,6,8,1,4,2,6,2,2
AC007566.10,3,8,6,5,0,4,3,3
AC007620.3,57,81,19,77,48,45,30,84
AC007682.1,2,4,2,5,2,4,0,9
AC007740.1,4,9,1,9,5,3,3,9
AC007743.1,0,3,1,1,2,0,2,2
AC007750.5,1,2,1,2,2,1,1,2
AC007773.2,0,2,3,1,3,1,2,0
AC007879.2,1,4,0,2,0,2,1,3
AC007879.5,2,3,0,3,1,0,0,0
AC007880.1,5,7,5,5,3,1,1,6
AC007952.5,14,9,5,33,3,4,1,8
AC007970.1,2,2,2,7,2,4,2,3
AC008060.7,4,1,1,3,1,1,3,3
AC008067.2,1,1,1,1,2,2,1,0
AC008073.7,2,0,4,1,0,1,2,0
AC008073.9,3,0,1,3,1,0,1,0
AC008074.3,0,2,1,0,0,0,0,2
AC008079.9,0,0,0,2,0,2,1,1
AC008088.4,2,2,0,3,0,0,1,2
AC008132.1,1,4,0,0,3,2,1,5
AC008132.13,23,15,3,13,4,8,8,14
AC008267.1,5,4,3,5,3,2,1,8
AC008269.2,1,2,0,9,2,1,1,3
AC008271.1,5,0,0,3,2,0,0,1
AC008277.1,2,6,1,5,1,3,2,5
AC008394.1,2,1,0,4,1,1,0,4
AC008440.10,11,11,5,13,4,5,9,8
AC008592.4,0,2,2,5,0,0,0,1
AC008592.8,0,1,1,0,1,0,0,4
AC008697.1,1,1,1,1,0,1,0,5
AC008703.1,1,1,0,0,2,2,1,2
AC008746.12,3,2,0,3,0,0,1,0
AC008753.4,2,4,1,2,0,0,0,2
AC008753.6,10,12,1,10,2,2,7,7
AC008937.2,10,13,9,12,0,4,2,8
AC008937.3,1,7,0,6,2,4,2,6
AC008982.2,26,32,26,50,11,9,15,12
AC008984.2,26,11,1,20,10,8,8,36
AC009005.2,9,11,6,5,2,4,10,5
AC009095.4,5,5,3,12,3,1,2,1
AC009120.10,0,0,1,1,1,0,3,6
AC009120.4,3,2,0,1,0,0,1,1
AC009120.5,2,9,1,7,1,3,3,2
AC009120.6,5,3,3,6,3,5,1,5
AC009133.12,8,17,8,23,9,20,4,5
AC009133.17,15,42,12,44,25,14,13,27
AC009133.21,2,3,1,2,1,2,1,3
AC009158.1,0,5,3,6,0,3,3,2
AC009227.2,2,3,0,3,1,2,0,7
AC009228.1,2,1,0,3,0,0,0,3
AC009299.2,9,12,3,19,1,5,1,4
AC009299.3,3,12,6,33,19,19,7,6
AC009303.1,5,4,4,13,1,4,1,4
AC009365.3,3,4,2,1,2,1,2,6
AC009403.2,23,52,31,92,38,27,15,25
AC009404.2,20,27,11,49,22,10,6,24
AC009473.1,1,10,3,7,4,2,2,10
AC009495.2,10,10,1,15,6,4,3,1
AC009495.3,0,0,1,1,1,2,0,2
AC009499.1,2,2,1,4,0,0,1,2
AC009501.4,1939,1381,3738,4402,22969,5905,2383,971
AC009502.4,8,10,7,15,6,4,6,20
AC009505.2,3,8,2,11,1,4,2,0
AC009505.4,1,0,2,4,2,1,0,0
AC009506.1,20,46,5,30,9,15,15,34
AC009518.4,1,3,1,3,0,0,2,6
AC009518.8,3,0,1,3,0,1,0,1
AC009542.2,7,3,3,9,2,2,5,4
AC009784.3,4,8,1,8,5,2,2,3
AC009948.5,86,106,30,135,83,99,44,58
AC009950.2,36,47,16,54,16,32,32,28
AC009961.3,15,24,8,21,9,14,5,20
AC009965.2,1,4,1,0,0,0,0,1
AC010082.2,2,1,0,2,0,0,1,0
AC010090.1,2,0,0,1,1,1,1,0
AC010091.1,0,1,0,0,1,0,2,2
AC010095.5,0,1,0,3,0,1,1,0
AC010096.1,1,2,1,4,0,2,0,2
AC010127.3,2,1,0,5,3,0,2,4
AC010132.10,2,1,0,2,0,1,1,1
AC010148.1,5,6,2,3,1,0,1,6
AC010226.4,6,15,2,16,5,13,5,14
AC010336.1,3,2,2,0,1,0,4,5
AC010468.2,0,2,1,1,2,0,0,0
AC010504.2,0,4,1,4,1,1,0,1
AC010524.2,5,9,2,18,7,5,2,8
AC010524.4,0,2,0,0,2,1,2,3
AC010525.4,10,2,5,7,0,4,1,2
AC010525.6,1,2,1,2,0,0,0,1
AC010525.7,5,4,3,5,3,0,2,0
AC010536.1,5,5,1,8,4,6,1,1
AC010642.1,5,14,9,14,3,3,8,7
AC010729.2,0,0,0,2,1,0,0,2
AC010731.4,1,3,0,3,0,1,0,3
AC010733.4,3,5,2,6,3,2,2,4
AC010746.3,1,3,0,2,1,1,0,1
AC010761.13,4,7,4,5,0,1,1,4
AC010761.8,46,50,48,113,49,40,14,16
AC010883.5,1,5,2,7,4,2,1,6
AC010894.3,4,1,0,3,1,2,0,1
AC010894.5,2,1,1,5,0,0,2,2
AC010907.2,1,0,1,1,0,0,3,2
AC010969.1,1,0,3,1,0,1,0,2
AC010976.2,15,13,3,32,6,7,1,5
AC010982.1,6,2,1,7,1,1,0,2
AC011043.1,7,14,7,35,20,8,15,5
AC011247.3,2,1,1,5,0,1,0,0
AC011286.1,0,0,0,0,3,0,2,1
AC011294.3,0,2,1,3,3,1,0,4
AC011298.2,1,0,2,4,1,0,1,0
AC011306.2,2,1,0,1,1,1,0,6
AC011343.1,1,1,4,2,4,4,1,2
AC011500.1,1,4,0,2,0,0,0,2
AC011513.4,0,1,0,3,0,0,2,2
AC011516.2,3,1,0,2,2,0,0,0
AC011518.1,2,4,0,3,3,0,2,3
AC011525.2,1,1,1,4,1,2,1,2
AC011526.1,2,3,0,6,3,2,4,3
AC011718.2,2,5,0,1,0,1,3,2
AC011738.4,1,1,1,4,1,0,1,1
AC011747.4,12,7,0,12,12,2,2,14
AC011747.7,2,8,0,5,3,6,0,8
AC011752.1,1,0,1,1,1,0,2,1
AC011753.5,1,2,0,4,0,2,0,1
AC011755.1,1,1,0,2,0,1,2,4
AC011841.1,23,43,32,84,53,25,25,26
AC011893.3,1,3,0,4,0,3,2,0
AC011899.10,1,1,0,3,1,1,0,4
AC011899.9,66,133,17,69,48,23,61,88
AC011997.1,0,3,0,0,1,0,2,0
AC012065.7,0,5,11,3,1,1,2,4
AC012123.1,1,8,3,7,8,3,4,7
AC012146.7,13,49,16,93,47,19,6,9
AC012309.5,2,2,1,0,4,0,0,4
AC012314.8,7,5,5,12,9,6,3,5
AC012317.1,4,3,1,1,1,0,4,10
AC012354.6,6,1,0,3,3,1,4,9
AC012358.7,8,7,0,5,2,3,2,1
AC012358.8,12,19,4,19,4,8,6,8
AC012360.4,5,2,0,2,1,0,3,4
AC012360.6,0,1,0,3,5,0,0,2
AC012361.1,1,1,0,0,1,0,0,1
AC012368.1,9,5,0,6,3,1,1,8
AC012370.3,5,3,1,5,4,1,1,4
AC012442.5,3,0,0,1,0,0,1,1
AC012442.6,0,3,0,4,3,2,0,1
AC012456.3,2,1,0,3,1,0,1,4
AC012485.2,3,1,0,2,0,2,1,4
AC012487.2,3,1,2,6,4,5,2,5
AC012494.1,0,0,0,1,0,1,0,3
AC012513.6,2,1,1,2,1,1,1,1
AC012593.1,1,2,2,3,1,3,1,6
AC012594.1,2,3,0,3,1,1,1,4
AC012613.2,3,5,2,4,6,2,0,5
AC012668.2,3,2,1,2,3,1,0,2
AC013264.2,3,13,2,88,11,76,3,8
AC013269.4,0,3,0,1,0,6,0,5
AC013271.3,23,35,12,50,13,8,9,16
AC013275.2,0,1,1,1,2,0,0,1
AC013394.2,996,973,639,1664,417,510,394,1042
AC013449.1,0,18,2,25,14,16,7,6
AC013460.1,1,3,1,7,4,0,3,3
AC013472.3,3,3,2,5,1,0,4,3
AC013472.4,0,1,0,0,0,0,0,2
AC015849.13,1,4,2,3,0,0,1,5
AC015849.16,8,3,2,10,5,4,2,1
AC015849.19,19,18,26,44,25,16,8,8
AC015849.2,3,7,0,3,1,2,1,4
AC015922.6,3,4,0,4,0,3,1,5
AC015969.3,4,7,3,5,4,2,2,17
AC015971.2,18,24,19,46,11,15,5,16
AC015987.1,1,6,6,7,1,3,1,3
AC016582.2,3,2,0,2,4,1,1,3
AC016586.1,7,27,8,46,10,6,7,17
AC016629.3,0,0,0,0,1,1,2,0
AC016629.8,35,65,16,65,24,11,16,35
AC016644.1,1,2,1,1,2,0,2,1
AC016683.5,2,1,1,4,1,0,1,3
AC016700.2,0,0,0,1,2,1,0,1
AC016700.3,4,5,1,8,4,3,3,1
AC016700.5,3,5,3,5,4,4,2,2
AC016722.3,2,1,2,3,0,0,1,4
AC016722.4,5,11,6,13,5,6,1,9
AC016730.1,0,1,1,3,3,1,4,7
AC016735.2,5,1,3,6,4,2,1,4
AC016738.3,2,0,0,3,0,1,1,2
AC016738.4,0,2,2,1,1,0,0,0
AC016747.3,24,61,16,101,47,35,28,33
AC016757.3,6,8,2,13,11,3,15,8
AC016831.7,11,9,10,19,2,8,5,14
AC016885.1,1,1,0,2,2,0,0,4
AC016907.3,10,8,1,11,3,2,2,9
AC016909.1,1,2,0,1,3,0,0,2
AC016910.1,1,1,0,1,0,0,0,0
AC016912.3,0,1,0,1,2,0,1,2
AC016995.3,6,2,0,1,1,0,1,1
AC017002.1,2,11,2,8,2,7,7,5
AC017002.2,5,6,0,17,4,8,2,4
AC017002.4,2,2,0,1,2,2,0,1
AC017006.2,2,4,0,3,1,0,4,3
AC017048.2,1,1,0,1,4,0,1,2
AC017074.2,1,3,0,0,2,2,0,0
AC017076.5,163,76,2,14,11,19,26,5
AC017104.2,13,9,11,20,2,5,5,8
AC017104.6,7,4,17,22,7,10,1,5
AC018462.2,3,3,1,9,0,2,5,4
AC018470.4,0,11,0,4,4,0,2,6
AC018506.1,0,0,0,3,0,0,1,0
AC018630.1,1,4,0,6,0,2,1,1
AC018647.3,3,2,0,5,3,1,0,5
AC018693.6,2,1,0,5,2,3,2,4
AC018731.3,0,1,0,2,0,1,1,2
AC018742.1,0,1,0,0,1,0,1,2
AC018755.1,3,7,3,11,11,3,1,13
AC018755.17,2,1,0,3,1,1,2,0
AC018766.4,1,3,0,3,1,0,0,0
AC018766.5,13,7,6,11,6,4,1,4
AC018766.6,3,4,1,8,2,0,1,3
AC018799.1,2,0,0,0,4,0,1,1
AC018816.3,3,3,4,16,2,10,3,3
AC018878.3,1,0,0,5,0,0,0,3
AC018890.4,1,1,1,3,1,1,3,1
AC018890.6,5,5,1,4,2,1,0,1
AC019048.1,2,0,2,2,1,1,0,4
AC019118.2,0,3,1,0,6,0,2,0
AC019181.2,0,3,1,4,4,0,0,2
AC019185.4,0,3,0,3,0,2,2,4
AC019186.1,1,3,1,3,0,2,1,1
AC019201.1,1,7,3,7,2,3,4,2
AC019221.4,6,11,6,15,3,3,2,3
AC020571.3,10,14,5,29,5,113,8,5
AC020594.5,2,3,1,2,2,1,0,0
AC020743.2,1,4,1,4,0,1,0,10
AC020907.1,0,0,0,1,3,0,1,0
AC020956.3,2,7,0,6,2,1,0,7
AC021016.6,2,1,1,1,1,1,0,3
AC021021.2,1,5,0,4,0,3,4,1
AC021188.4,7,11,12,7,2,9,3,2
AC021218.2,3,2,0,3,2,0,0,6
AC021224.1,89,152,55,262,115,103,61,133
AC021860.1,3,2,5,11,3,1,2,5
AC022007.5,8,19,6,25,12,3,4,7
AC022154.7,0,1,4,0,1,0,0,0
AC022173.2,0,4,0,2,1,0,0,1
AC022182.1,3,2,1,7,2,0,0,0
