id,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
SDC3,2.647295975,-2.647295975,0.008138575,0.008138575,1.201320593,-1.201320593,0.000943241,0,0.000943241,-0.000943241
SDC4,-1.264552983,1.264552983,0.206164153,0.206164153,-0.409901601,0.409901601,0.009028161,0.012304388,-0.003276227,0.003276227
SDCBP,4.025412458,-4.025412458,5.85E-05,5.85E-05,1.926161894,-1.926161894,0.27108995,0.224363485,0.046726465,-0.046726465
SDCBP2,NA,NA,NA,NA,NA,NA,0,0,0,0
SDCBP2-AS1,-1.414678994,1.414678994,0.157367449,0.157367449,-0.502668194,0.502668194,0,0.000911436,-0.000911436,0.000911436
SDCCAG8,3.379809196,-3.379809196,0.000735043,0.000735043,1.590262372,-1.590262372,0.06377442,0.045726683,0.018047738,-0.018047738
SDE2,2.259555745,-2.259555745,0.02392396,0.02392396,0.989358317,-0.989358317,0.033946535,0.025064494,0.008882041,-0.008882041
SDF2,3.663408908,-3.663408908,0.000253542,0.000253542,1.738493257,-1.738493257,0.084830876,0.062098269,0.022732608,-0.022732608
SDF2L1,1.78470341,-1.78470341,0.074429859,0.074429859,0.721785445,-0.721785445,0.156691939,0.140037193,0.016654746,-0.016654746
SDF4,3.787727523,-3.787727523,0.000155338,0.000155338,1.803115402,-1.803115402,0.178811171,0.144068643,0.034742528,-0.034742528
SDHA,2.6458785,-2.6458785,0.008195409,0.008195409,1.200047494,-1.200047494,0.115477791,0.095563737,0.019914054,-0.019914054
SDHAF1,3.968302088,-3.968302088,7.40E-05,7.40E-05,1.897223871,-1.897223871,0.038787355,0.023241621,0.015545734,-0.015545734
SDHAF2,2.307220032,-2.307220032,0.021113277,0.021113277,1.015640225,-1.015640225,0.033082117,0.024153058,0.008929059,-0.008929059
SDHAF3,-0.330792048,0.330792048,0.740830042,0.740830042,-0.322953246,0.322953246,0.041548386,0.043181514,-0.001633128,0.001633128
SDHAF4,0.931395701,-0.931395701,0.351731339,0.351731339,0.1903252,-0.1903252,0.011318889,0.009114361,0.002204527,-0.002204527
