id,degree_.NonSevere,degree_.Severe,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
A1BG-AS1.TF,29,54,-28.6683065,28.6683065,4.56E-157,4.56E-157,-13.33764255,13.33764255,-0.242938917,-0.180728436,-0.062210481,0.062210481
A1BG.TF,5,38,97.87964079,-97.87964079,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.066527445,-0.138799687,1.205327132,-1.205327132
A2M-AS1.TF,35,55,-22.75815496,22.75815496,2.51E-104,2.51E-104,-10.82942127,10.82942127,-0.24288027,-0.196060316,-0.046819954,0.046819954
A2M.TF,28,61,-38.36819603,38.36819603,1.35E-252,1.35E-252,-16.96329175,16.96329175,-0.245117479,-0.159438397,-0.085679082,0.085679082
AAAS.TF,NA,52,NA,NA,NA,NA,NA,NA,NA,-0.179887023,NA,NA
AACS.TF,33,48,-36.23136505,36.23136505,1.01E-221,1.01E-221,-15.88211454,15.88211454,-0.244341086,-0.147384476,-0.09695661,0.09695661
AAED1.TF,NA,49,NA,NA,NA,NA,NA,NA,NA,-0.149546464,NA,NA
AAGAB.TF,NA,58,NA,NA,NA,NA,NA,NA,NA,-0.161413591,NA,NA
AAK1.TF,12,12,27.77380678,-27.77380678,3.38E-149,3.38E-149,12.99401933,-12.99401933,1.117679263,0.704337605,0.413341658,-0.413341658
AAMDC.TF,10,54,-40.66366969,40.66366969,3.30E-278,3.30E-278,-17.81055864,17.81055864,-0.269590407,-0.175957351,-0.093633056,0.093633056
AAMP.TF,3,11,45.69142808,-45.69142808,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.759841312,0.031822887,0.728018426,-0.728018426
AANAT.TF,26,NA,NA,NA,NA,NA,NA,NA,-0.243092848,NA,NA,NA
AAR2.TF,2,50,-17.2714949,17.2714949,2.02E-65,2.02E-65,-8.520803778,8.520803778,-0.227509597,-0.144218925,-0.083290672,0.083290672
AARS.TF,5,47,-33.07380199,33.07380199,1.51E-209,1.51E-209,-15.43503742,15.43503742,-0.255050635,-0.148792837,-0.106257798,0.106257798
AARS2.TF,29,49,-36.82109059,36.82109059,1.58E-231,1.58E-231,-16.23327949,16.23327949,-0.25534554,-0.171942112,-0.083403427,0.083403427
AARSD1.TF,31,54,-36.98092966,36.98092966,6.87E-233,6.87E-233,-16.28145601,16.28145601,-0.253636731,-0.168761292,-0.08487544,0.08487544
AASDH.TF,11,56,-33.43714114,33.43714114,2.28E-207,2.28E-207,-15.35363894,15.35363894,-0.264465416,-0.191657486,-0.072807931,0.072807931
AASDHPPT.TF,NA,26,NA,NA,NA,NA,NA,NA,NA,-0.058771479,NA,NA
AASS.TF,38,41,-18.78619703,18.78619703,2.79E-73,2.79E-73,-9.034516401,9.034516401,-0.232254132,-0.187385618,-0.044868514,0.044868514
AATBC.TF,34,61,-36.03167439,36.03167439,3.13E-228,3.13E-228,-16.11606951,16.11606951,-0.240027372,-0.156990219,-0.083037153,0.083037153
AATF.TF,5,6,45.11712985,-45.11712985,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.326009695,0.428658716,0.897350979,-0.897350979
AATK.TF,36,56,-34.20975388,34.20975388,7.31E-205,7.31E-205,-15.25946118,15.25946118,-0.246779145,-0.168176725,-0.078602421,0.078602421
ABALON.TF,27,51,-19.81941719,19.81941719,1.02E-81,1.02E-81,-9.555516174,9.555516174,-0.244278589,-0.203077253,-0.041201336,0.041201336
ABAT.TF,29,65,-31.9127949,31.9127949,1.35E-188,1.35E-188,-14.6336252,14.6336252,-0.248167429,-0.181450768,-0.066716662,0.066716662
ABCA1.TF,27,53,-30.86373346,30.86373346,3.61E-176,3.61E-176,-14.13698477,14.13698477,-0.25442541,-0.188167607,-0.066257803,0.066257803
ABCA10.TF,29,NA,NA,NA,NA,NA,NA,NA,-0.233468692,NA,NA,NA
ABCA2.TF,31,59,-36.37041819,36.37041819,1.13E-228,1.13E-228,-16.13187482,16.13187482,-0.253928955,-0.176401574,-0.077527381,0.077527381
ABCA3.TF,41,69,-31.95816888,31.95816888,1.31E-186,1.31E-186,-14.55541233,14.55541233,-0.25378991,-0.194162735,-0.059627175,0.059627175
ABCA5.TF,30,68,-27.8918213,27.8918213,6.32E-152,6.32E-152,-13.11416186,13.11416186,-0.243693472,-0.188546092,-0.055147379,0.055147379
ABCA7.TF,4,58,12.05636174,-12.05636174,4.14E-33,4.14E-33,5.964882397,-5.964882397,-0.100941494,-0.168873417,0.067931923,-0.067931923
ABCB1.TF,29,47,-27.00675481,27.00675481,8.59E-141,8.59E-141,-12.61675548,12.61675548,-0.239873113,-0.17687646,-0.062996653,0.062996653
ABCB10.TF,30,53,-22.41044739,22.41044739,4.28E-102,4.28E-102,-10.71038321,10.71038321,-0.238416759,-0.190862571,-0.047554189,0.047554189
ABCB4.TF,31,52,-39.21780629,39.21780629,8.61E-252,8.61E-252,-16.93599896,16.93599896,-0.262271225,-0.175605437,-0.086665788,0.086665788
ABCB6.TF,27,50,-29.66025044,29.66025044,1.05E-165,1.05E-165,-13.70494035,13.70494035,-0.236621674,-0.16451501,-0.072106663,0.072106663
ABCB7.TF,2,63,-7.662463544,7.662463544,2.09E-14,2.09E-14,-3.777494797,3.777494797,-0.225510592,-0.189056037,-0.036454555,0.036454555
ABCB8.TF,12,57,-53.48351442,53.48351442,0.00E+00,0.00E+00,-18.75968967,18.75968967,-0.272490781,-0.135025032,-0.137465748,0.137465748
ABCB9.TF,37,64,-31.38077069,31.38077069,1.68E-181,1.68E-181,-14.35222125,14.35222125,-0.235868427,-0.166844077,-0.06902435,0.06902435
ABCC1.TF,19,63,-28.92322529,28.92322529,8.35E-163,8.35E-163,-13.5826504,13.5826504,-0.241484611,-0.176723152,-0.064761458,0.064761458
ABCC10.TF,30,47,-22.08620653,22.08620653,7.35E-99,7.35E-99,-10.53547963,10.53547963,-0.238163442,-0.187599671,-0.050563771,0.050563771
ABCC11.TF,26,45,-30.7794811,30.7794811,7.67E-174,7.67E-174,-14.04203719,14.04203719,-0.245951419,-0.168325325,-0.077626094,0.077626094
ABCC2.TF,45,58,-34.59641318,34.59641318,1.17E-208,1.17E-208,-15.4018643,15.4018643,-0.236781842,-0.155421201,-0.081360641,0.081360641
ABCC3.TF,21,58,-33.56947083,33.56947083,2.38E-205,2.38E-205,-15.27782844,15.27782844,-0.251780582,-0.176967041,-0.074813542,0.074813542
ABCC4.TF,37,57,-40.48889729,40.48889729,4.37E-263,4.37E-263,-17.31531618,17.31531618,-0.255788819,-0.161280798,-0.094508021,0.094508021
ABCC5.TF,25,67,-28.68904742,28.68904742,2.08E-159,2.08E-159,-13.43813143,13.43813143,-0.242091163,-0.182024892,-0.06006627,0.06006627
ABCC6.TF,35,71,-41.21832638,41.21832638,4.82E-279,4.82E-279,-17.83752992,17.83752992,-0.249947429,-0.163564172,-0.086383256,0.086383256
ABCD1.TF,6,63,-42.10939823,42.10939823,5.16E-299,5.16E-299,-18.47028357,18.47028357,-0.272927143,-0.181815777,-0.091111366,0.091111366
ABCD2.TF,28,52,-45.22912441,45.22912441,1.50959382401186e-310,1.50959382401186e-310,-18.82606579,18.82606579,-0.258856275,-0.1479124,-0.110943875,0.110943875
ABCD3.TF,7,45,-12.22927181,12.22927181,6.36E-34,6.36E-34,-6.042366717,6.042366717,-0.228579737,-0.191056356,-0.03752338,0.03752338
ABCD4.TF,2,59,-9.930336483,9.930336483,4.51E-23,4.51E-23,-4.911239273,4.911239273,-0.217005843,-0.165608678,-0.051397165,0.051397165
ABCE1.TF,NA,37,NA,NA,NA,NA,NA,NA,NA,-0.141188147,NA,NA
ABCF1.TF,5,26,89.42465158,-89.42465158,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.96726614,-0.105935218,1.073201357,-1.073201357
ABCF2-1.TF,23,58,-31.66339513,31.66339513,1.92E-187,1.92E-187,-14.58830713,14.58830713,-0.247868604,-0.178151479,-0.069717125,0.069717125
ABCF3.TF,2,59,-15.68407027,15.68407027,1.83E-54,1.83E-54,-7.748301833,7.748301833,-0.239676113,-0.173098831,-0.066577281,0.066577281
ABCG1.TF,35,58,-38.17892404,38.17892404,3.30E-244,3.30E-244,-16.67649838,16.67649838,-0.254779862,-0.171546687,-0.083233174,0.083233174
ABHD1.TF,38,56,-39.98665578,39.98665578,2.61E-259,2.61E-259,-17.18945167,17.18945167,-0.258782376,-0.172650311,-0.086132065,0.086132065
ABHD10.TF,22,40,-25.36965572,25.36965572,5.07E-126,5.07E-126,-11.92495702,11.92495702,-0.254444034,-0.197079072,-0.057364962,0.057364962
ABHD11.TF,2,57,-52.48628279,52.48628279,0.00E+00,0.00E+00,-18.75968967,18.75968967,-0.280756726,-0.175099157,-0.105657569,0.105657569
ABHD12.TF,NA,52,NA,NA,NA,NA,NA,NA,NA,-0.163116643,NA,NA
ABHD13.TF,NA,67,NA,NA,NA,NA,NA,NA,NA,-0.173718935,NA,NA
ABHD14A-ACY1.TF,34,67,-28.63897131,28.63897131,1.56E-157,1.56E-157,-13.35764957,13.35764957,-0.233449308,-0.173515515,-0.059933793,0.059933793
ABHD14A.TF,35,56,-27.07709428,27.07709428,1.64E-141,1.64E-141,-12.64946723,12.64946723,-0.230902627,-0.168452069,-0.062450559,0.062450559
ABHD14B.TF,7,23,53.9702337,-53.9702337,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.139949766,0.377953313,0.761996452,-0.761996452
ABHD15.TF,23,39,-34.94285262,34.94285262,8.89E-211,8.89E-211,-15.48075603,15.48075603,-0.262453567,-0.179429694,-0.083023873,0.083023873
ABHD16A.TF,NA,45,NA,NA,NA,NA,NA,NA,NA,-0.185900455,NA,NA
ABHD17A.TF,2,35,61.83690436,-61.83690436,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.136414514,-0.007959893,1.144374407,-1.144374407
ABHD17B.TF,26,53,-33.97751505,33.97751505,7.33E-207,7.33E-207,-15.33460998,15.33460998,-0.257925083,-0.18586351,-0.072061573,0.072061573
ABHD17C.TF,33,47,-29.41854887,29.41854887,1.90E-160,1.90E-160,-13.48256679,13.48256679,-0.258971138,-0.196759276,-0.062211862,0.062211862
ABHD18.TF,18,51,-20.0969038,20.0969038,8.06E-85,8.06E-85,-9.740171348,9.740171348,-0.227861828,-0.175555323,-0.052306505,0.052306505
ABHD2.TF,NA,34,NA,NA,NA,NA,NA,NA,NA,-0.18910245,NA,NA
ABHD3.TF,NA,51,NA,NA,NA,NA,NA,NA,NA,-0.168035095,NA,NA
ABHD4.TF,22,57,-37.40141108,37.40141108,2.38E-243,2.38E-243,-16.64683866,16.64683866,-0.241686849,-0.147955818,-0.093731031,0.093731031
ABHD5.TF,NA,51,NA,NA,NA,NA,NA,NA,NA,-0.189152352,NA,NA
ABHD6.TF,32,61,-36.30899792,36.30899792,2.10E-230,2.10E-230,-16.19344358,16.19344358,-0.247176359,-0.169415309,-0.077761051,0.077761051
ABHD8.TF,24,55,-35.7597342,35.7597342,3.52E-224,3.52E-224,-15.97085111,15.97085111,-0.248636765,-0.163814176,-0.084822589,0.084822589
ABI1.TF,3,20,76.86906447,-76.86906447,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.272849287,0.012800313,1.260048974,-1.260048974
ABI2.TF,24,68,-31.92424991,31.92424991,5.71E-192,5.71E-192,-14.76563337,14.76563337,-0.246212855,-0.181764078,-0.064448777,0.064448777
ABI3.TF,3,16,74.44367769,-74.44367769,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.066217507,-0.113055761,1.179273268,-1.179273268
ABL1.TF,21,63,-17.02077884,17.02077884,1.57E-62,1.57E-62,-8.323959898,8.323959898,-0.220906615,-0.180131219,-0.040775396,0.040775396
ABL2.TF,35,57,-33.76834028,33.76834028,4.07E-203,4.07E-203,-15.19353542,15.19353542,-0.246061041,-0.171248298,-0.074812743,0.074812743
ABLIM1.TF,7,69,139.8517888,-139.8517888,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.165402508,-0.029083371,1.194485879,-1.194485879
ABLIM2.TF,36,64,-25.82635677,25.82635677,1.28E-131,1.28E-131,-12.19175892,12.19175892,-0.239329765,-0.18732134,-0.052008425,0.052008425
ABLIM3.TF,32,41,-18.27660443,18.27660443,7.04E-70,7.04E-70,-8.815819546,8.815819546,-0.238347385,-0.196149685,-0.0421977,0.0421977
ABO.TF,35,55,-34.06805611,34.06805611,8.64E-204,8.64E-204,-15.21898146,15.21898146,-0.252938086,-0.176217754,-0.076720332,0.076720332
ABR.TF,NA,56,NA,NA,NA,NA,NA,NA,NA,-0.18107536,NA,NA
ABRACL.TF,12,20,-27.15243789,27.15243789,2.26E-145,2.26E-145,-12.82373864,12.82373864,1.398261736,1.839881334,-0.441619598,0.441619598
ABRAXAS1.TF,12,47,-28.30116583,28.30116583,6.35E-157,6.35E-157,-13.33142853,13.33142853,-0.249692059,-0.178823556,-0.070868503,0.070868503
ABRAXAS2.TF,10,59,-23.26536341,23.26536341,6.04E-113,6.04E-113,-11.27734965,11.27734965,-0.245550293,-0.188416349,-0.057133944,0.057133944
ABT1.TF,5,17,83.95137805,-83.95137805,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.021274396,-0.00932151,1.030595906,-1.030595906
ABTB1.TF,6,10,83.47457306,-83.47457306,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.170896708,0.022563264,1.148333444,-1.148333444
ABTB2.TF,29,65,-25.04548715,25.04548715,4.46E-125,4.46E-125,-11.87936108,11.87936108,-0.24647003,-0.196945627,-0.049524403,0.049524403
ACAA1.TF,2,7,49.73234529,-49.73234529,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.395379635,0.278533125,1.11684651,-1.11684651
ACAA2.TF,NA,45,NA,NA,NA,NA,NA,NA,NA,-0.14870221,NA,NA
ACACA.TF,31,65,-46.53724029,46.53724029,0.00E+00,0.00E+00,-18.75968967,18.75968967,-0.251570555,-0.15042088,-0.101149675,0.101149675
ACACB.TF,31,61,-45.87207333,45.87207333,2.17388884170148e-322,2.17388884170148e-322,-19.18448613,19.18448613,-0.247584748,-0.135159773,-0.112424975,0.112424975
ACAD10.TF,24,59,-31.47997828,31.47997828,3.00E-185,3.00E-185,-14.50159513,14.50159513,-0.231706694,-0.154397153,-0.07730954,0.07730954
ACAD11.TF,36,60,-27.33553668,27.33553668,1.07E-143,1.07E-143,-12.74833107,12.74833107,-0.240486613,-0.183030692,-0.057455922,0.057455922
ACAD8.TF,18,38,-32.39047011,32.39047011,5.39E-188,5.39E-188,-14.6100348,14.6100348,-0.262783977,-0.183412976,-0.079371002,0.079371002
ACAD9.TF,18,55,-33.05073247,33.05073247,5.79E-202,5.79E-202,-15.14983951,15.14983951,-0.253876959,-0.180575583,-0.073301376,0.073301376
ACADM.TF,NA,37,NA,NA,NA,NA,NA,NA,NA,-0.159677664,NA,NA
ACADS.TF,8,40,-48.61461918,48.61461918,0.00E+00,0.00E+00,-18.75968967,18.75968967,-0.280756726,-0.156099323,-0.124657403,0.124657403
ACADSB.TF,40,62,-28.2750907,28.2750907,6.62E-152,6.62E-152,-13.11327935,13.11327935,-0.243485769,-0.186025768,-0.057460001,0.057460001
ACADVL.TF,7,13,17.6861938,-17.6861938,3.85E-67,3.85E-67,8.635779042,-8.635779042,1.366354635,1.041337504,0.325017132,-0.325017132
ACAP1.TF,7,22,60.48620518,-60.48620518,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.850653953,0.894610752,0.956043201,-0.956043201
ACAP2.TF,15,17,-11.6854644,11.6854644,9.85E-31,9.85E-31,-5.732671009,5.732671009,1.28748057,1.46822466,-0.18074409,0.18074409
ACAP3.TF,9,54,-21.38123328,21.38123328,1.02E-96,1.02E-96,-10.41795953,10.41795953,-0.239401344,-0.182959873,-0.056441472,0.056441472
ACAT1.TF,NA,54,NA,NA,NA,NA,NA,NA,NA,-0.144386178,NA,NA
ACAT2.TF,NA,34,NA,NA,NA,NA,NA,NA,NA,-0.143094079,NA,NA
ACBD3-AS1.TF,48,54,-30.22977329,30.22977329,6.69E-167,6.69E-167,-13.75492629,13.75492629,-0.250668569,-0.186662226,-0.064006343,0.064006343
ACBD3.TF,NA,60,NA,NA,NA,NA,NA,NA,NA,-0.192028892,NA,NA
ACBD4.TF,37,62,-29.68907249,29.68907249,1.39E-165,1.39E-165,-13.69970223,13.69970223,-0.246836024,-0.18691647,-0.059919554,0.059919554
ACBD5.TF,3,38,-30.65867332,30.65867332,2.24E-183,2.24E-183,-14.42711176,14.42711176,-0.267537467,-0.175012209,-0.092525258,0.092525258
ACBD6.TF,4,57,83.11780019,-83.11780019,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.98529293,-0.146859966,1.132152896,-1.132152896
ACCS.TF,36,46,-34.09185122,34.09185122,3.36E-202,3.36E-202,-15.15877828,15.15877828,-0.253330636,-0.173331453,-0.079999183,0.079999183
ACD.TF,2,38,62.08960013,-62.08960013,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.987694175,-0.130955766,1.118649941,-1.118649941
ACE.TF,29,57,-26.8186225,26.8186225,3.58E-140,3.58E-140,-12.5884946,12.5884946,-0.237538111,-0.177067281,-0.06047083,0.06047083
ACER2.TF,25,67,-28.70264406,28.70264406,7.90E-160,7.90E-160,-13.45610681,13.45610681,-0.241589246,-0.18200191,-0.059587336,0.059587336
ACER3.TF,NA,36,NA,NA,NA,NA,NA,NA,NA,-0.150371869,NA,NA
ACIN1.TF,5,14,87.0473447,-87.0473447,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.369474277,0.112471461,1.257002816,-1.257002816
ACKR3.TF,43,45,-33.09608538,33.09608538,1.13E-192,1.13E-192,-14.79305654,14.79305654,-0.258202521,-0.187044666,-0.071157855,0.071157855
ACKR4.TF,36,57,-31.6742247,31.6742247,3.67E-183,3.67E-183,-14.41859893,14.41859893,-0.251288399,-0.186117629,-0.065170769,0.065170769
ACLY.TF,NA,22,NA,NA,NA,NA,NA,NA,NA,0.124049582,NA,NA
ACO1.TF,30,55,-20.63045921,20.63045921,4.64E-88,4.64E-88,-9.929343479,9.929343479,-0.231991034,-0.186389386,-0.045601649,0.045601649
ACO2.TF,4,10,79.8680065,-79.8680065,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.195564951,-0.027235697,1.222800648,-1.222800648
ACOT1.TF,31,51,-29.79574681,29.79574681,5.82E-166,5.82E-166,-13.715603,13.715603,-0.247367422,-0.182340405,-0.065027017,0.065027017
ACOT11.TF,35,61,-37.47191894,37.47191894,1.67E-238,1.67E-238,-16.4785694,16.4785694,-0.251628899,-0.172352754,-0.079276145,0.079276145
ACOT13.TF,3,50,-21.94369767,21.94369767,7.12E-103,7.12E-103,-10.75206837,10.75206837,-0.23638004,-0.148989403,-0.087390637,0.087390637
ACOT2.TF,4,56,-28.94207085,28.94207085,6.85E-171,6.85E-171,-13.92067712,13.92067712,-0.251011506,-0.161023608,-0.089987898,0.089987898
ACOT4.TF,27,44,-27.02441463,27.02441463,4.99E-140,4.99E-140,-12.58188323,12.58188323,-0.24753292,-0.183991384,-0.063541536,0.063541536
ACOT7.TF,9,46,-23.12411296,23.12411296,4.81E-111,4.81E-111,-11.18005648,11.18005648,-0.228792791,-0.155890023,-0.072902768,0.072902768
ACOT8.TF,NA,24,NA,NA,NA,NA,NA,NA,NA,-0.12512412,NA,NA
ACOT9.TF,2,35,64.55991483,-64.55991483,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.041601519,-0.126129208,1.167730727,-1.167730727
ACOX1.TF,7,44,-43.56514468,43.56514468,4.34E-287,4.34E-287,-18.09509406,18.09509406,-0.279264605,-0.180828055,-0.09843655,0.09843655
ACOX2.TF,27,56,-43.13620379,43.13620379,1.72E-292,1.72E-292,-18.26600184,18.26600184,-0.255935269,-0.150810082,-0.105125186,0.105125186
ACOX3.TF,32,60,-27.99182854,27.99182854,2.27E-151,2.27E-151,-13.08979277,13.08979277,-0.246749633,-0.191681658,-0.055067976,0.055067976
ACP1.TF,7,14,4.928143451,-4.928143451,8.72E-07,8.72E-07,2.39051067,-2.39051067,0.881341586,0.804388842,0.076952744,-0.076952744
ACP2.TF,NA,55,NA,NA,NA,NA,NA,NA,NA,-0.184185995,NA,NA
ACP5.TF,NA,43,NA,NA,NA,NA,NA,NA,NA,-0.137661487,NA,NA
ACP6.TF,28,58,-26.60123248,26.60123248,1.70E-138,1.70E-138,-12.51172339,12.51172339,-0.234117745,-0.173916502,-0.060201243,0.060201243
ACPP.TF,32,56,-32.67189658,32.67189658,6.81E-193,6.81E-193,-14.80157035,14.80157035,-0.252956795,-0.184543919,-0.068412877,0.068412877
ACRBP.TF,51,53,-19.69181244,19.69181244,5.13E-83,5.13E-83,-9.633283067,9.633283067,-0.229020214,-0.173014117,-0.056006097,0.056006097
ACSBG1.TF,38,51,-41.14837825,41.14837825,1.09E-267,1.09E-267,-17.46760214,17.46760214,-0.260163463,-0.165615938,-0.094547525,0.094547525
ACSF2.TF,30,33,-26.33812859,26.33812859,6.90E-132,6.90E-132,-12.20438057,12.20438057,-0.246340368,-0.175109106,-0.071231261,0.071231261
ACSF3.TF,NA,41,NA,NA,NA,NA,NA,NA,NA,-0.169223201,NA,NA
ACSL1.TF,5,16,28.05696947,-28.05696947,1.31E-163,1.31E-163,13.61661713,-13.61661713,0.913144214,0.440811402,0.472332812,-0.472332812
ACSL3.TF,2,44,-43.62999769,43.62999769,1.21E-291,1.21E-291,-18.2392819,18.2392819,-0.27971598,-0.174067595,-0.105648385,0.105648385
ACSL4.TF,2,42,53.12913608,-53.12913608,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.640003571,-0.189942841,0.829946411,-0.829946411
ACSL5.TF,2,48,58.65335734,-58.65335734,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.85197858,-0.16980084,1.02177942,-1.02177942
ACSL6.TF,35,51,-33.09989696,33.09989696,1.45E-194,1.45E-194,-14.86637877,14.86637877,-0.24660814,-0.170196681,-0.076411458,0.076411458
ACSM3.TF,40,54,-30.84593823,30.84593823,1.03E-173,1.03E-173,-14.03678148,14.03678148,-0.2455698,-0.176613581,-0.068956219,0.068956219
ACSS1.TF,2,44,-13.71837716,13.71837716,2.97E-42,2.97E-42,-6.785579125,6.785579125,-0.250750663,-0.198002728,-0.052747935,0.052747935
ACSS2.TF,2,54,40.33855935,-40.33855935,1.83453987810554e-310,1.83453987810554e-310,18.82347856,-18.82347856,0.509588872,-0.171117379,0.680706251,-0.680706251
ACSS3.TF,36,NA,NA,NA,NA,NA,NA,NA,-0.23960757,NA,NA,NA
ACTA2-AS1.TF,48,58,-24.76857703,24.76857703,9.76E-121,9.76E-121,-11.66756502,11.66756502,-0.231365948,-0.179538352,-0.051827596,0.051827596
ACTA2.TF,18,56,-39.89441933,39.89441933,5.51E-262,5.51E-262,-17.27871626,17.27871626,-0.268278049,-0.180671049,-0.087607,0.087607
ACTB.TF,10,30,63.32539815,-63.32539815,0.00E+00,0.00E+00,18.75968967,-18.75968967,3.998748706,3.068802908,0.929945798,-0.929945798
ACTG1.TF,9,16,4.268811975,-4.268811975,2.03E-05,2.03E-05,2.052154455,-2.052154455,3.246744477,3.181495294,0.065249183,-0.065249183
ACTL10.TF,38,54,-32.22987293,32.22987293,2.12E-187,2.12E-187,-14.58659061,14.58659061,-0.250100594,-0.179376346,-0.070724247,0.070724247
ACTL6A.TF,NA,49,NA,NA,NA,NA,NA,NA,NA,-0.182993305,NA,NA
ACTN1.TF,4,29,75.24254816,-75.24254816,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.827317668,-0.142980817,0.970298485,-0.970298485
ACTN4.TF,8,13,32.81068116,-32.81068116,5.47E-205,5.47E-205,15.26420286,-15.26420286,1.454289071,0.898018722,0.556270349,-0.556270349
ACTR10.TF,2,20,61.00985731,-61.00985731,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.051233067,-0.086459115,1.137692183,-1.137692183
ACTR1A.TF,NA,10,NA,NA,NA,NA,NA,NA,NA,0.100713871,NA,NA
ACTR1B.TF,3,43,67.6291028,-67.6291028,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.811632858,-0.155463262,0.96709612,-0.96709612
ACTR2.TF,20,78,-25.13544953,25.13544953,9.04E-127,9.04E-127,-11.961007,11.961007,1.173337401,1.440474141,-0.26713674,0.26713674
ACTR3.TF,7,71,27.24950968,-27.24950968,3.41E-154,3.41E-154,13.21318442,-13.21318442,1.836021086,1.458918738,0.377102349,-0.377102349
ACTR3B.TF,40,58,-26.97922412,26.97922412,5.74E-140,5.74E-140,-12.57912473,12.57912473,-0.239827245,-0.181893618,-0.057933627,0.057933627
ACTR3C.TF,36,62,-36.34206024,36.34206024,8.23E-228,8.23E-228,-16.10107851,16.10107851,-0.254421923,-0.179814938,-0.074606985,0.074606985
ACTR5.TF,16,56,-28.38163612,28.38163612,3.49E-158,3.49E-158,-13.38563124,13.38563124,-0.24621687,-0.180448265,-0.065768605,0.065768605
ACTR6.TF,NA,45,NA,NA,NA,NA,NA,NA,NA,-0.130771145,NA,NA
ACTR8.TF,22,50,-20.38264442,20.38264442,1.57E-86,1.57E-86,-9.840465274,9.840465274,-0.230604219,-0.181579994,-0.049024226,0.049024226
ACVR1.TF,36,53,-37.74396538,37.74396538,9.81E-238,9.81E-238,-16.45173064,16.45173064,-0.244240455,-0.148081343,-0.096159112,0.096159112
ACVR1B.TF,25,49,-39.35267301,39.35267301,5.56E-254,5.56E-254,-17.01021035,17.01021035,-0.25823582,-0.16114618,-0.09708964,0.09708964
ACVR1C.TF,31,60,-34.07880734,34.07880734,2.72E-207,2.72E-207,-15.35073482,15.35073482,-0.251373139,-0.179009879,-0.072363261,0.072363261
ACVR2A.TF,26,54,-25.88027241,25.88027241,5.63E-132,5.63E-132,-12.20855369,12.20855369,-0.242753432,-0.186315244,-0.056438188,0.056438188
ACVR2B.TF,35,68,-37.58124161,37.58124161,5.22E-243,5.22E-243,-16.63507979,16.63507979,-0.251244798,-0.176857226,-0.074387572,0.074387572
ACVRL1.TF,34,56,-27.14530383,27.14530383,5.99E-142,5.99E-142,-12.66934595,12.66934595,-0.250918993,-0.196065275,-0.054853718,0.054853718
ACY1.TF,31,47,-34.0172246,34.0172246,1.49E-201,1.49E-201,-15.13424021,15.13424021,-0.2548356,-0.17211915,-0.08271645,0.08271645
ACY3.TF,31,59,-20.64867115,20.64867115,2.40E-88,2.40E-88,-9.945908962,9.945908962,-0.241960086,-0.20117717,-0.040782917,0.040782917
ACYP1.TF,3,62,-10.40666454,10.40666454,3.61E-25,3.61E-25,-5.148772935,5.148772935,-0.209271615,-0.16208606,-0.047185555,0.047185555
ACYP2.TF,NA,39,NA,NA,NA,NA,NA,NA,NA,-0.150749457,NA,NA
ADA.TF,NA,45,NA,NA,NA,NA,NA,NA,NA,-0.177577343,NA,NA
ADA2.TF,16,19,19.89962129,-19.89962129,5.17E-82,5.17E-82,9.573255971,-9.573255971,0.65044453,0.369939306,0.280505225,-0.280505225
ADAL.TF,35,68,-27.35595738,27.35595738,2.48E-145,2.48E-145,-12.82192209,12.82192209,-0.236677574,-0.18057053,-0.056107044,0.056107044
ADAM10.TF,5,7,37.637672,-37.637672,1.40E-262,1.40E-262,17.29854953,-17.29854953,1.326007346,0.602809319,0.723198027,-0.723198027
ADAM12.TF,32,NA,NA,NA,NA,NA,NA,NA,-0.256849821,NA,NA,NA
ADAM15.TF,2,32,48.99691094,-48.99691094,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.614909351,-0.177537723,0.792447074,-0.792447074
ADAM17.TF,NA,29,NA,NA,NA,NA,NA,NA,NA,-0.166133325,NA,NA
