id,degree_.NonSevere,degree_.Severe,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
CD180.TF,13,52,-39.06957932,39.06957932,3.41E-264,3.41E-264,-17.3520839,17.3520839,-0.257791777,-0.161281573,-0.096510204,0.096510204
CD19.TF,15,56,0.093579848,-0.093579848,0.925448195,0.925448195,0.721352466,-0.721352466,0.293254316,0.292234201,0.001020115,-0.001020115
CD1A.TF,37,61,-31.93373574,31.93373574,1.59E-186,1.59E-186,-14.55205711,14.55205711,-0.247581005,-0.183325851,-0.064255154,0.064255154
CD1B.TF,50,66,-25.63289526,25.63289526,3.57E-128,3.57E-128,-12.02823659,12.02823659,-0.238221653,-0.187697173,-0.05052448,0.05052448
CD1C.TF,33,62,86.35454572,-86.35454572,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.196724738,-0.155545652,0.35227039,-0.35227039
CD1D.TF,4,31,41.47943359,-41.47943359,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.501291179,-0.107699697,0.608990876,-0.608990876
CD1E.TF,34,42,-32.5062575,32.5062575,2.18E-186,2.18E-186,-14.54669093,14.54669093,-0.252424421,-0.170847346,-0.081577074,0.081577074
CD2.TF,25,59,-7.25178209,7.25178209,5.15E-13,5.15E-13,-3.563282897,3.563282897,0.55175185,0.650027208,-0.098275357,0.098275357
CD200.TF,27,58,-29.63468571,29.63468571,3.08E-168,3.08E-168,-13.81071244,13.81071244,-0.235842922,-0.169503222,-0.0663397,0.0663397
CD200R1.TF,39,57,-28.52444501,28.52444501,2.33E-153,2.33E-153,-13.17686452,13.17686452,-0.244100653,-0.182771865,-0.061328788,0.061328788
CD209.TF,36,NA,NA,NA,NA,NA,NA,NA,-0.237222137,NA,NA,NA
CD22.TF,15,66,66.74121408,-66.74121408,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.720865563,0.111493977,0.609371586,-0.609371586
CD226.TF,22,56,-30.64784905,30.64784905,3.72E-177,3.72E-177,-14.17708696,14.17708696,-0.225684937,-0.147648774,-0.078036164,0.078036164
CD24.TF,8,52,-17.43656829,17.43656829,1.48E-66,1.48E-66,-8.596925304,8.596925304,0.00763328,0.154102342,-0.146469063,0.146469063
CD244.TF,2,58,26.74408121,-26.74408121,3.88E-148,3.88E-148,12.94707515,-12.94707515,0.089851798,-0.1886153,0.278467097,-0.278467097
CD247.TF,28,60,-5.657210106,5.657210106,1.66E-08,1.66E-08,-2.761919304,2.761919304,0.702983814,0.787578258,-0.084594444,0.084594444
CD248.TF,22,56,-38.30943643,38.30943643,2.20E-249,2.20E-249,-16.854034,16.854034,-0.253535566,-0.164223944,-0.089311623,0.089311623
