,covid-555-1_NonSevere,covid-555-2_Severe,covid-556_NonSevere,covid-557_Severe,covid-558_Severe,covid-559_NonSevere,covid-560_Severe,covid-561_NonSevere
PRKCQ,323.04651163,355.163299678001,97.58604652,451.296296299,180.912457914,158.832558139,93.385521899,395.232558132
PRTN3,31.342592614,39.3112980819999,17.055555551,54.8341346109999,26.165865394,25.143518521,10.746394208,28.7962963049999
PSMA1,97.043269229,188.009615397,39.6538461500001,267.766025638,147.841346139,69.06249999,47.096153862,109.581730767
PTEN,433.73626383,676.534883732,117.197802265,654.639534873999,340.627906983,199.516483615,161.843023231,411.24175821
PTPN1,86.0599647340001,225.941320318,50.724867724,377.773431152,175.977180128,69.9347442770001,212.577017126,86.5714285900001
PTPN6,549.59322056,734.265625,111.55932237,651.5703125,362.4140625,186.28813598,218.46875,711.03389839
PTX3,30.4691942790002,39.3951856019999,15.071090019,55.9638917319999,26.9438315339999,24.7014217710002,10.8034102,27.6232226750002
PVR,34.9060402690001,38.2342857230001,18.011185682,53.242857162,25.9428571390001,27.955257271,10.288571427,31.574944081
RBKS,37.306666671,37.903121633,18.002222229,54.076426281,26.237890214,31.431111118,10.564047377,30.5599999980001
RNASE3,40.50408166,85.652661049,18.306122459,86.4187674670001,39.2338935390001,29.814285715,24.023809508,33.012244934
RRM2,38.92355372,246.470370372,22.933884297,356.781481491001,204.129629624001,36.69421489,61.908641984,35.661157028
RRM2B,30.5328798147,42.0751665086,16.1247165506,58.2502378673,28.5566127484999,24.8344671161999,12.3101807798,29.6734693852
S100A11,1530.46341474,2735.5625,352.92682929,1770.34375,1114.90625,586.292683110002,702.1875,2056.34146352
S100A12,564.474358981,404.965260544,200.974358974,433.637717144,203.210918118,293.910256423,108.270471466,736.512820511001
S100P,75.677083329,124.491143304,27.528645838,119.371980678,56.093397714,43.807291658,36.196457346,99.898437509
SEMA4C,35.721348139,37.9097292429999,18.57977519,53.7953862119999,25.255767338,30.285393121,10.442326963,34.501123425
SERPINB8,74.2429577460001,485.591954007999,26.066901414,323.931034445,208.925287337,40.6830985919998,124.080459751,103.457746483
SH2D1A,160.070631976,396.769574956,51.970260225,496.917225976,205.248322144,83.7732341950001,102.369127527,194.096654278
SHMT1,38.761363629,47.377643509,19.427272728,68.264853965,33.972809682,29.3818181789999,14.269889213,33.90681818
SIGLEC9,176.446043161,1755.43749999,38.913669054,1110.708333342,714.833333338999,69.0215827280001,442.541666663,224.525179846
SKAP2,1533.59999998,3070.07407429,338.866666680001,1973.85185245001,1261.62962974,575.633333300002,782.14814812,2110.10000005
SLAMF6,575.232000000001,542.423913071001,161.112,526.170289861001,260.565217385,280.872,136.090579706,662.160000000001
SLC39A14,32.903890156,56.702040834,21.173913026,78.4622449099999,48.080612244,24.560640735,13.614285699,34.10983982
SNAP23,54.1445086839999,68.723893937,24.445086701,79.930973611,43.833628443,37.774566478,17.973451398,64.3757225389999
SNAP29,45.455377559,74.633728602,22.251716247,96.428194975,46.756258241,35.121281465,18.8208168370001,48.196796347
SNX9,42.8131416839997,44.508385769,23.556468172,64.030398326,29.907756845,34.9383983599999,13.407756781,41.3080082269997
SORD,32.4623218,40.5771027800001,17.568228118,57.0759345599999,26.178738307,26.448065178,10.942756994,29.951120178
SPON1,29.8873786120001,40.729867741,16.462135915,55.225280667,27.223241779,24.1223300730001,10.930683045,28.4058252270001
SPP1,29.336330936,0,16.269784174,0,0,23.938848919,0,28.5161870640001
SRPK2,45.647450151,147.058941206,25.687361443,204.574425779,83.28671337,35.3392461450001,37.254745292,45.751662998
STX16,102.451282043,232.389156625,63.006837605,388.165060245,138.126506019,89.215384609,61.48433734,99.343589726
STX4,59.855227887,142.917721509,29.92225202,183.51012656,84.6037974730001,47.026809643,35.165822787,57.3056300360001
STX8,31.687041593,59.3374384139999,17.860635705,82.3325122999999,40.487684733,26.281173609,17.225369452,30.8948655540001
SUGT1,44.525104625,94.772325818,22.596234313,176.753680106,64.3444553459999,37.826359828,180.456329728,39.328451895
SUSD2,29.8294736939999,38.583857475,15.720000006,52.753668812,26.015723305,24.172631579,10.78092241,27.0063157839999
TANK,48.44369374,92.278177475,26.542792816,118.570743416,56.376498804,42.698198233,24.973621112,46.3085586039999
TFPI,31.897959205,39.685146427,16.122448988,55.5543933130001,26.973849371,25.847866435,11.370292882,28.489795949
TGFA,32.599118941,40.770621647,16.464757705,57.671186637,26.964971899,27.6629956,11.633898399,30.297356831
THOP1,31.809008971,40.7915829020003,17.068468453,55.3476950380008,27.2034066200001,25.522522491,12.365731388,29.77297294
TIMP1,913.81666665,1997.46153826,171.40000001,1312.78846112,838.6153847,327.58333333,501.769230959999,1199.36666685
TNFAIP8,144.99238583,322.29245282,70.0228425700003,551.95178202,193.55555538,102.14720811,118.17819705,175.3096447
TNFRSF10A,33.802469174,58.2223427300001,17.74074075,95.1930585539999,36.771149685,27.541152292,16.647505408,30.049382757
TNFRSF10B,36.9619289510001,37.292682925,20.0076142210001,53.0335365880001,26.304878033,29.0609137190002,10.974085355,37.200507645
TNFRSF10C,35.498680763,40.6646026990001,18.786279697,55.758513971,28.562435497,29.577836438,12.085655312,34.5356200719999
TNFRSF11A,29.6623931647999,39.2456140349001,16.0534188049,58.4941520473,25.6052631565,24.2158119674999,31.1393762183,30.4935897436999
TNFRSF12A,31.464757704,37.5373665590001,15.982378849,52.4139976590001,25.776986973,25.544052862,10.270462632,29.171806153
TNFRSF8,30.774793398,40.326576608,17.830578512,53.177927967,27.179054069,23.960743798,10.488738763,28.8698347300001
TNFSF10,638.21621621,1475.6865672,103.310811,1008.85074649,614.65671646,317.09459459,383.74626864,680.324324330001
TNFSF14,29.8285714288,42.6293018677999,14.4877551034,58.9931170128999,28.8938053103,25.1183673465,11.8269419856,27.473469388
TPT1,362.86123684,523.126245959999,201.15987929,817.705149549997,329.46013298,273.4042232,304.55980065,388.22322772
TREM2,39.5749063919999,0,20.5149812860001,0,0,30.3913857710002,0,35.79588014
TXNDC5,35.1096196940001,49.734939804,20.152125272,67.3395400589999,37.616648444,28.055928409,12.593647363,38.0693512360001
TYMP,351.37213114,496.208695661,132.080327865,500.304347825,265.821739132001,204.545901632,144.695652158,429.350819666
ULBP2,27.5441860451,44.3263254117001,15.0604651141,60.4533820849002,29.5329067637001,23.5302325565,12.3802559415001,26.8139534867
VAT1,32.778588695,121.864541809,17.783454962,117.151394407,52.641434252,27.973235972,33.7828685290001,34.462287005
VCAN,347.27000012,440.89589909,148.92818178,530.91640368,242.78391163,212.90545458,118.91561522,400.11454542
VEGFA,37.4105959949999,41.9743276689999,19.176600425,58.5550122599999,28.008557484,30.161147889,12.167481658,35.2428255879999
VWF,32.143667338,40.151162808,16.812854476,55.8446088680001,25.948202978,25.296786425,10.898520074,29.015122908
ZBTB17,39.9683257929002,41.3731203005,22.7081447967,56.8007518776999,26.6531954869,31.4728506796001,11.451127819,40.9660633500003
Condition,0,1125,0,1444,859,0,463,0
