Feature,Importance
ENPP2,1.1114553503638325e-05
KLK8,1.0980228198675945e-05
KITLG,1.0425925336399189e-05
CDH6,1.027282591259393e-05
CTSV,9.076648543659971e-06
WFDC2,8.449449227829198e-06
EZR,8.10567792797201e-06
CD207,6.77879235536083e-06
MDK,6.13009973583073e-06
DCTN2,6.037549466708647e-06
GDF2,5.788027588840561e-06
RRM2,5.4378362681628545e-06
EPCAM,5.297041339310041e-06
OMG,5.16625604353102e-06
SMAD5,4.659576677501498e-06
CHL1,4.596272262964718e-06
CD22,4.524032677810652e-06
GDF15,4.404323559803469e-06
NADK,4.354520321131483e-06
SIGLEC6,4.296693817129604e-06
LAMP2,4.019402941146666e-06
CLEC4C,3.219649756802667e-06
PON3,2.8199900809489087e-06
NCAM2,2.055930684168126e-06
SIGLEC10,1.974482131069516e-06
DPEP1,1.933696611890537e-06
CD6,1.8556124426333254e-06
VWA1,1.7762648403937473e-06
CD34,1.6684717073535416e-06
ELOA,1.5366332920818682e-06
VSIG4,1.309029598821343e-06
CD8A,1.2781386897614544e-06
IL17RA,1.265124116835159e-06
CNTNAP2,1.2618551061358702e-06
MSLN,1.192037915834221e-06
NMNAT1,1.100121575378643e-06
SLAMF8,7.850254117730548e-07
ANG,6.870644169224005e-07
BTN3A2,6.552611353238813e-07
CD300C,5.409726978817045e-07
AGR2,4.755917470122828e-07
MSTN,4.4640397060119463e-07
ERP44,4.206026543163155e-07
TMSB10,4.135304244104465e-07
FCRL3,3.373981339877398e-07
TIMP4,2.2650273738718252e-07
MSR1,2.0747123656225663e-08
LPL,5.176350907480122e-09
LYPD3,4.9024441022027e-09
DSG4,4.783446895962468e-09
DSG3,3.536489632686773e-09
ISLR2,2.26569316544409e-09
ING1,4.630886279607634e-11
